Entity,Code,Year,Annual CO2 emissions from coal (per capita)
Afghanistan,AFG,1949,0.0019
Afghanistan,AFG,1950,0.0027
Afghanistan,AFG,1951,0.0033
Afghanistan,AFG,1952,0.004
Afghanistan,AFG,1953,0.0047
Afghanistan,AFG,1954,0.0052
Afghanistan,AFG,1955,0.0075
Afghanistan,AFG,1956,0.0074
Afghanistan,AFG,1957,0.009
Afghanistan,AFG,1958,0.0106
Afghanistan,AFG,1959,0.0124
Afghanistan,AFG,1960,0.0141
Afghanistan,AFG,1961,0.0192
Afghanistan,AFG,1962,0.0317
Afghanistan,AFG,1963,0.0276
Afghanistan,AFG,1964,0.0308
Afghanistan,AFG,1965,0.0383
Afghanistan,AFG,1966,0.0421
Afghanistan,AFG,1967,0.0384
Afghanistan,AFG,1968,0.0313
Afghanistan,AFG,1969,0.0333
Afghanistan,AFG,1970,0.0391
Afghanistan,AFG,1971,0.0313
Afghanistan,AFG,1972,0.0162
Afghanistan,AFG,1973,0.0257
Afghanistan,AFG,1974,0.0245
Afghanistan,AFG,1975,0.0314
Afghanistan,AFG,1976,0.0328
Afghanistan,AFG,1977,0.0342
Afghanistan,AFG,1978,0.0432
Afghanistan,AFG,1979,0.0262
Afghanistan,AFG,1980,0.0236
Afghanistan,AFG,1981,0.0253
Afghanistan,AFG,1982,0.0299
Afghanistan,AFG,1983,0.0307
Afghanistan,AFG,1984,0.0322
Afghanistan,AFG,1985,0.0335
Afghanistan,AFG,1986,0.0362
Afghanistan,AFG,1987,0.0382
Afghanistan,AFG,1988,0.0315
Afghanistan,AFG,1989,0.0284
Afghanistan,AFG,1990,0.0224
Afghanistan,AFG,1991,0.0187
Afghanistan,AFG,1992,0.0015
Afghanistan,AFG,1993,0.0012
Afghanistan,AFG,1994,0.0009
Afghanistan,AFG,1995,0.0008
Afghanistan,AFG,1996,0.0004
Afghanistan,AFG,1997,0.0002
Afghanistan,AFG,1998,0.0002
Afghanistan,AFG,1999,0.0002
Afghanistan,AFG,2000,0.0002
Afghanistan,AFG,2001,0.0032
Afghanistan,AFG,2002,0.0024
Afghanistan,AFG,2003,0.0039
Afghanistan,AFG,2004,0.0037
Afghanistan,AFG,2005,0.0041
Afghanistan,AFG,2006,0.0061
Afghanistan,AFG,2007,0.0276
Afghanistan,AFG,2008,0.0389
Afghanistan,AFG,2009,0.0533
Afghanistan,AFG,2010,0.077
Afghanistan,AFG,2011,0.1388
Afghanistan,AFG,2012,0.1003
Afghanistan,AFG,2013,0.1031
Afghanistan,AFG,2014,0.111
Afghanistan,AFG,2015,0.0826
Afghanistan,AFG,2016,0.0813
Afghanistan,AFG,2017,0.095
Afghanistan,AFG,2018,0.1035
Afghanistan,AFG,2019,0.198
Afghanistan,AFG,2020,0.1929
Africa,,1884,0.005
Africa,,1885,0.0082
Africa,,1886,0.0105
Africa,,1887,0.0104
Africa,,1888,0.0174
Africa,,1889,0.0281
Africa,,1890,0.0625
Africa,,1891,0.0618
Africa,,1892,0.0988
Africa,,1893,0.3663
