Entity,Code,Year,Annual CO2 emissions from gas (per capita)
Afghanistan,AFG,1967,0.025
Afghanistan,AFG,1968,0.0326
Afghanistan,AFG,1970,0.0194
Afghanistan,AFG,1971,0.0383
Afghanistan,AFG,1972,0.0255
Afghanistan,AFG,1973,0.0275
Afghanistan,AFG,1974,0.0322
Afghanistan,AFG,1975,0.0375
Afghanistan,AFG,1976,0.0232
Afghanistan,AFG,1977,0.0389
Afghanistan,AFG,1978,0.0226
Afghanistan,AFG,1979,0.0287
Afghanistan,AFG,1980,0.014
Afghanistan,AFG,1981,0.0231
Afghanistan,AFG,1982,0.0307
Afghanistan,AFG,1983,0.0491
Afghanistan,AFG,1984,0.0764
Afghanistan,AFG,1985,0.0999
Afghanistan,AFG,1986,0.1024
Afghanistan,AFG,1987,0.0337
Afghanistan,AFG,1988,0.0378
Afghanistan,AFG,1989,0.0404
Afghanistan,AFG,1990,0.0325
Afghanistan,AFG,1991,0.0292
Afghanistan,AFG,1992,0.025
Afghanistan,AFG,1993,0.0222
Afghanistan,AFG,1994,0.0198
Afghanistan,AFG,1995,0.0178
Afghanistan,AFG,1996,0.0163
Afghanistan,AFG,1997,0.0146
Afghanistan,AFG,1998,0.0134
Afghanistan,AFG,1999,0.012
Afghanistan,AFG,2000,0.0108
Afghanistan,AFG,2001,0.0097
Afghanistan,AFG,2002,0.0242
Afghanistan,AFG,2003,0.0196
Afghanistan,AFG,2004,0.0092
Afghanistan,AFG,2005,0.0129
Afghanistan,AFG,2006,0.0124
Afghanistan,AFG,2007,0.0114
Afghanistan,AFG,2008,0.0107
Afghanistan,AFG,2009,0.0095
Afghanistan,AFG,2010,0.0093
Afghanistan,AFG,2011,0.0102
Afghanistan,AFG,2012,0.0099
Afghanistan,AFG,2013,0.0092
Afghanistan,AFG,2014,0.0081
Afghanistan,AFG,2015,0.0082
Afghanistan,AFG,2016,0.009
Afghanistan,AFG,2017,0.0083
Afghanistan,AFG,2018,0.0079
Afghanistan,AFG,2019,0.008
Afghanistan,AFG,2020,0.0081
Africa,,1939,0.0012
Africa,,1940,0.001
Africa,,1941,0.0009
Africa,,1942,0.0009
Africa,,1943,0.001
Africa,,1944,0.0013
Africa,,1945,0.0013
Africa,,1946,0.0013
Africa,,1947,0.0012
Africa,,1948,0.0011
Africa,,1949,0.001
Africa,,1950,0
Africa,,1951,0
Africa,,1952,0
Africa,,1953,0.0001
Africa,,1954,0.0001
Africa,,1955,0.0001
Africa,,1956,0.0001
Africa,,1957,0.0001
Africa,,1958,0.0001
Africa,,1959,0.0001
Africa,,1960,0.0002
Africa,,1961,0.0017
Africa,,1962,0.0025
Africa,,1963,0.0024
Africa,,1964,0.0047
Africa,,1965,0.0067
Africa,,1966,0.0073
Africa,,1967,0.007
Africa,,1968,0.0069
Africa,,1969,0.0082
Africa,,1970,0.0023
Africa,,1971,0.0046
Africa,,1972,0.0116
Africa,,1973,0.0138
Africa,,1974,0.0128
Africa,,1975,0.0156
Africa,,1976,0.021
Africa,,1977,0.0315
Africa,,1978,0.0772
Africa,,1979,0.0428
Africa,,1980,0.0734
Africa,,1981,0.0606
Africa,,1982,0.048
Africa,,1983,0.0592
Africa,,1984,0.09
Africa,,1985,0.0899
Africa,,1986,0.1044
Africa,,1987,0.118
Africa,,1988,0.1166
Africa,,1989,0.1175
Africa,,1990,0.1212
Africa,,1991,0.1217
Africa,,1992,0.1122
Africa,,1993,0.1203
Africa,,1994,0.1224
Africa,,1995,0.1416
Africa,,1996,0.1469
Africa,,1997,0.1264
Africa,,1998,0.146
Africa,,1999,0.1446
Africa,,2000,0.1411
Africa,,2001,0.1446
Africa,,2002,0.1579
Africa,,2003,0.1672
Africa,,2004,0.1709
Africa,,2005,0.2005
Africa,,2006,0.191
Africa,,2007,0.1998
Africa,,2008,0.1976
Africa,,2009,0.1893
Africa,,2010,0.1944
Africa,,2011,0.208
Africa,,2012,0.214
Africa,,2013,0.2108
Africa,,2014,0.2142
Africa,,2015,0.2148
Africa,,2016,0.2195
Africa,,2017,0.2284
Africa,,2018,0.2264
Africa,,2019,0.2231
Africa,,2020,0.2142
Albania,ALB,1951,0.0085
Albania,ALB,1952,0.0083
Albania,ALB,1953,0.0136
Albania,ALB,1954,0.0212
Albania,ALB,1955,0.0258
Albania,ALB,1956,0.0326
Albania,ALB,1957,0.0391
Albania,ALB,1958,0.0427
Albania,ALB,1959,0.0484
Albania,ALB,1960,0.0515
Albania,ALB,1961,0.0499
Albania,ALB,1962,0.0485
Albania,ALB,1963,0.0471
Albania,ALB,1964,0.0457
Albania,ALB,1965,0.0444
Albania,ALB,1966,0.0527
Albania,ALB,1967,0.0642
Albania,ALB,1968,0.0715
Albania,ALB,1969,0.0803
Albania,ALB,1970,0.087
Albania,ALB,1971,0.1098
Albania,ALB,1972,0.1235
Albania,ALB,1973,0.1589
Albania,ALB,1974,0.1819
Albania,ALB,1975,0.2294
Albania,ALB,1976,0.2722
Albania,ALB,1977,0.2777
Albania,ALB,1978,0.2636
Albania,ALB,1979,0.269
Albania,ALB,1980,0.2882
Albania,ALB,1981,0.2944
Albania,ALB,1982,0.3099
Albania,ALB,1983,0.3426
Albania,ALB,1984,0.3596
Albania,ALB,1985,0.327
Albania,ALB,1986,0.3454
Albania,ALB,1987,0.1443
Albania,ALB,1988,0.1111
Albania,ALB,1989,0.1372
Albania,ALB,1990,0.1416
Albania,ALB,1991,0.0838
Albania,ALB,1992,0.061
Albania,ALB,1993,0.0492
Albania,ALB,1994,0.0314
Albania,ALB,1995,0.0165
Albania,ALB,1996,0.0142
Albania,ALB,1997,0.0118
Albania,ALB,1998,0.0106
Albania,ALB,1999,0.0094
Albania,ALB,2000,0.007
Albania,ALB,2001,0.0047
Albania,ALB,2002,0.0082
Albania,ALB,2003,0.0082
Albania,ALB,2004,0.0106
Albania,ALB,2005,0.0071
Albania,ALB,2006,0.0072
Albania,ALB,2007,0.0109
Albania,ALB,2008,0.0049
Albania,ALB,2009,0.0062
Albania,ALB,2010,0.0087
Albania,ALB,2011,0.01
Albania,ALB,2012,0.0101
Albania,ALB,2013,0.0114
Albania,ALB,2014,0.0202
Albania,ALB,2015,0.0215
Albania,ALB,2016,0.0559
Albania,ALB,2017,0.0584
Albania,ALB,2018,0.0521
Albania,ALB,2019,0.0536
Albania,ALB,2020,0.0532
Algeria,DZA,1939,0.0147
Algeria,DZA,1940,0.012
Algeria,DZA,1941,0.0128
Algeria,DZA,1942,0.0135
Algeria,DZA,1943,0.0147
Algeria,DZA,1944,0.0162
Algeria,DZA,1945,0.0165
Algeria,DZA,1946,0.0162
Algeria,DZA,1947,0.016
Algeria,DZA,1948,0.0161
Algeria,DZA,1949,0.016
Algeria,DZA,1961,0.0397
Algeria,DZA,1962,0.0592
Algeria,DZA,1963,0.0507
Algeria,DZA,1964,0.0974
Algeria,DZA,1965,0.1417
Algeria,DZA,1966,0.1434
Algeria,DZA,1967,0.1349
Algeria,DZA,1968,0.1379
Algeria,DZA,1969,0.1761
Algeria,DZA,1970,0.0094
Algeria,DZA,1971,0.0453
Algeria,DZA,1972,0.2052
Algeria,DZA,1973,0.2003
Algeria,DZA,1974,0.1518
Algeria,DZA,1975,0.2685
Algeria,DZA,1976,0.3549
Algeria,DZA,1977,0.2051
Algeria,DZA,1978,1.3179
Algeria,DZA,1979,0.438
Algeria,DZA,1980,1.3256
Algeria,DZA,1981,0.5632
Algeria,DZA,1982,0.3506
Algeria,DZA,1983,0.7871
Algeria,DZA,1984,1.4019
Algeria,DZA,1985,1.2349
Algeria,DZA,1986,1.4321
Algeria,DZA,1987,1.6874
Algeria,DZA,1988,1.5944
Algeria,DZA,1989,1.4607
Algeria,DZA,1990,1.5105
Algeria,DZA,1991,1.4556
Algeria,DZA,1992,1.1814
Algeria,DZA,1993,1.3062
Algeria,DZA,1994,1.3251
Algeria,DZA,1995,1.642
Algeria,DZA,1996,1.7278
Algeria,DZA,1997,1.3115
Algeria,DZA,1998,1.8097
Algeria,DZA,1999,1.6628
Algeria,DZA,2000,1.2414
Algeria,DZA,2001,1.3045
Algeria,DZA,2002,1.4018
Algeria,DZA,2003,1.3646
Algeria,DZA,2004,1.2605
Algeria,DZA,2005,1.8465
Algeria,DZA,2006,1.4657
Algeria,DZA,2007,1.4949
Algeria,DZA,2008,1.4843
Algeria,DZA,2009,1.5536
Algeria,DZA,2010,1.4834
Algeria,DZA,2011,1.5471
Algeria,DZA,2012,1.715
Algeria,DZA,2013,1.716
Algeria,DZA,2014,1.8969
Algeria,DZA,2015,1.9827
Algeria,DZA,2016,1.9402
Algeria,DZA,2017,1.9897
Algeria,DZA,2018,2.1049
Algeria,DZA,2019,2.147
Algeria,DZA,2020,2.0118
Angola,AGO,1970,0.0143
Angola,AGO,1971,0.0139
Angola,AGO,1972,0.0176
Angola,AGO,1973,0.0192
Angola,AGO,1974,0.0195
Angola,AGO,1975,0.0177
Angola,AGO,1976,0.0151
Angola,AGO,1977,0.018
Angola,AGO,1978,0.0174
Angola,AGO,1979,0.0168
Angola,AGO,1980,0.0176
Angola,AGO,1981,0.0199
Angola,AGO,1982,0.0192
Angola,AGO,1983,0.0213
Angola,AGO,1984,0.0229
Angola,AGO,1985,0.0221
Angola,AGO,1986,0.0238
Angola,AGO,1987,0.0278
Angola,AGO,1988,0.0271
Angola,AGO,1989,0.0278
Angola,AGO,1990,0.0853
Angola,AGO,1991,0.0885
Angola,AGO,1992,0.0842
Angola,AGO,1993,0.0801
Angola,AGO,1994,0.0719
Angola,AGO,1995,0.0751
Angola,AGO,1996,0.0728
